symbol,date,open_price,high_price,low_price,close_price,volume,adjusted_close,price_range,price_change,price_change_pct,volume_millions,price_volatility,price_momentum,price_gap,volume_normalized,volume_log,volume_price_ratio,price_volume_trend,day_of_week,is_monday,is_friday
AAPL,2025-08-27,228.61,230.9,228.26,230.49,31200700,,2.640000000000015,1.8799999999999955,0.8223612265430188,31.2007,0.011548051266348868,0.8223612265430188,,4.629252659535008,17.255951120476027,135.36682719423837,14.190625128601045,2,0,0
ABBV,2025-08-27,208.82,210.42,207.81,208.06,3459100,,2.609999999999985,-0.7599999999999909,-0.36394981323627573,3.4591,0.012498802796666916,-0.36394981323627573,,0.5132271992166055,15.056519286683535,16.625492646352015,-5.479817382376856,2,0,0
AMGN,2025-08-27,288.84,290.25,286.65,287.97,1400800,,3.6000000000000227,-0.8699999999999477,-0.30120481927709036,1.4008,0.012463647694225257,-0.30120481927709036,,0.20783691152687725,14.152554773831309,4.8643955967635515,-4.262817702960982,2,0,0
AMT,2025-08-27,207.75,208.03,203.21,203.27,3083500,,4.819999999999993,-4.47999999999999,-2.1564380264741225,3.0835,0.0232009626955475,-2.1564380264741225,,0.4574993694268461,14.941576197720426,15.169479018054805,-32.22058308822496,2,0,0
AMZN,2025-08-27,228.57,229.87,227.81,229.12,21226400,,2.0600000000000023,0.5500000000000114,0.24062650391565446,21.2264,0.009012556328477063,0.24062650391565446,,3.1493642338907106,16.87075629505045,92.64315642458101,4.05955110569101,2,0,0
BAC,2025-08-27,50.03,50.63,49.99,50.38,42417300,,0.6400000000000006,0.3500000000000014,0.6995802518488935,42.4173,0.012792324605236868,0.6995802518488935,,6.293461327319396,17.563066879428334,841.9472012703454,12.286774750749434,2,0,0
BLK,2025-08-27,1138.39,1144.78,1131.5601,1131.63,310000,,13.219900000000052,-6.759999999999991,-0.5938210982176575,0.31,0.01161280404782197,-0.5938210982176575,,0.04599474769655336,12.644330802262578,0.27394112916766084,-7.5084704032269185,2,0,0
CAT,2025-08-27,429.73,435.06,428.95,432.67,1970900,,6.110000000000014,2.9399999999999977,0.6841505131128842,1.9709,0.014218230051427671,0.6841505131128842,,0.29242273624237747,14.49400135656287,4.555203734948113,9.916078465151328,2,0,0
CMCSA,2025-08-27,33.59,33.85,33.45,33.81,17518900,,0.3999999999999986,0.21999999999999886,0.654956832390589,17.5189,0.011908306043465273,0.654956832390589,,2.599281888455318,16.678790913194515,518.1573498964804,10.923888064610818,2,0,0
COP,2025-08-27,97.1,98.63,96.77,97.9,5759500,,1.8599999999999994,0.8000000000000114,0.8238928939238017,5.7595,0.01915550978372811,0.8238928939238017,,0.8545379011558035,15.566361396974866,58.83043922369765,12.825014539217376,2,0,0
